temp_C,time_min,h2so4_M,h2o2_M,pulp_density_gL,Li_pct,Ni_pct,Co_pct,Mn_pct
10.0,1.0,0.3,0.0,20.0,45.466,46.316,45.736,13.11
10.0,1.0,0.3,0.0,124.333,56.768,45.964,42.252,39.64
10.0,1.0,0.3,0.0,228.667,57.393,39.206,35.743,40.086
10.0,1.0,0.3,0.0,333.0,43.338,41.686,38.304,37.919
10.0,1.0,0.3,0.333333,20.0,45.468,46.318,45.739,13.111
10.0,1.0,0.3,0.333333,124.333,56.769,45.966,42.254,39.641
10.0,1.0,0.3,0.333333,228.667,57.393,39.206,35.743,40.086
10.0,1.0,0.3,0.333333,333.0,43.338,41.686,38.304,37.919
10.0,1.0,0.3,0.666667,20.0,45.47,46.32,45.741,13.112
10.0,1.0,0.3,0.666667,124.333,56.77,45.967,42.256,39.641
10.0,1.0,0.3,0.666667,228.667,57.392,39.206,35.744,40.085
10.0,1.0,0.3,0.666667,333.0,43.337,41.685,38.304,37.918
10.0,1.0,0.3,1.0,20.0,45.471,46.321,45.742,13.113
10.0,1.0,0.3,1.0,124.333,56.77,45.968,42.257,39.641
10.0,1.0,0.3,1.0,228.667,57.391,39.206,35.743,40.084
10.0,1.0,0.3,1.0,333.0,43.336,41.684,38.303,37.916
10.0,1.0,0.725,0.0,20.0,45.471,46.323,45.744,13.113
10.0,1.0,0.725,0.0,124.333,56.774,45.971,42.26,39.645
10.0,1.0,0.725,0.0,228.667,57.396,39.209,35.746,40.089
10.0,1.0,0.725,0.0,333.0,43.339,41.687,38.306,37.92
10.0,1.0,0.725,0.333333,20.0,45.473,46.325,45.746,13.114
10.0,1.0,0.725,0.333333,124.333,56.775,45.973,42.262,39.646
10.0,1.0,0.725,0.333333,228.667,57.396,39.21,35.747,40.089
10.0,1.0,0.725,0.333333,333.0,43.339,41.687,38.305,37.92
10.0,1.0,0.725,0.666667,20.0,45.475,46.327,45.748,13.115
10.0,1.0,0.725,0.666667,124.333,56.776,45.975,42.264,39.647
10.0,1.0,0.725,0.666667,228.667,57.395,39.209,35.747,40.089
10.0,1.0,0.725,0.666667,333.0,43.338,41.686,38.305,37.919
10.0,1.0,0.725,1.0,20.0,45.476,46.329,45.75,13.116
10.0,1.0,0.725,1.0,124.333,56.776,45.976,42.265,39.647
10.0,1.0,0.725,1.0,228.667,57.394,39.209,35.746,40.087
10.0,1.0,0.725,1.0,333.0,43.337,41.685,38.304,37.918
10.0,1.0,1.15,0.0,20.0,45.476,46.33,45.751,13.115
10.0,1.0,1.15,0.0,124.333,56.779,45.978,42.267,39.65
10.0,1.0,1.15,0.0,228.667,57.398,39.212,35.749,40.091
10.0,1.0,1.15,0.0,333.0,43.34,41.688,38.306,37.92
10.0,1.0,1.15,0.333333,20.0,45.478,46.332,45.753,13.116
10.0,1.0,1.15,0.333333,124.333,56.78,45.98,42.269,39.651
10.0,1.0,1.15,0.333333,228.667,57.398,39.212,35.749,40.091
10.0,1.0,1.15,0.333333,333.0,43.339,41.687,38.306,37.92
10.0,1.0,1.15,0.666667,20.0,45.479,46.334,45.755,13.118
10.0,1.0,1.15,0.666667,124.333,56.781,45.982,42.271,39.652
